id,code,name,user_type_id/id,chart_template_id/id,reconcile,group_id/id,currency_id/id
account_account_abu_dhabi_office_33,1417,Buildings Overseas- Qatar Villas Compound,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_1,
account_account_abu_dhabi_office_34,1418,Buildings Overseas-Morocco Apartment 2013,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_1,
account_account_abu_dhabi_office_35,1420,Buildings-Overseas-Sudan,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_1,
account_account_abu_dhabi_office_36,1430,Building Overseas-Oman Villa V168,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_1,
account_account_abu_dhabi_office_37,1435,Building Overseas- Oman Villa 407,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_1,
account_account_abu_dhabi_office_38,1460,Buildings Overseas- France-Palace Beauveau,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_1,
account_account_abu_dhabi_office_39,1461,Palace Beauvau Development,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_1,
account_account_abu_dhabi_office_40,1462,Pakistan Project - Equipments,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_1,
account_account_abu_dhabi_office_41,1474,Building overseas-London 21 .Culross street,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_1,
account_account_abu_dhabi_office_42,1475,"Buildings Overseas-London-26, Culross street",account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_1,
account_account_abu_dhabi_office_43,1476,Buildings Overseas-London-Tinley Street,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_1,
account_account_abu_dhabi_office_44,1478,"Buildings Overseas-London 2, Knightsbridge Court",account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_1,
account_account_abu_dhabi_office_45,1480,Bahrain - Villamar @ The Harbour,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_1,
account_account_abu_dhabi_office_46,1484,"Buildings Overseas- Rabat Villas 9, 16 (Assalam Village)",account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_1,
account_account_abu_dhabi_office_47,1485,Buildings Overseas- London 19 Upper Grosv. & 23 Culross St.,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_1,
,,,,,,,
account_account_abu_dhabi_office_48,1200,Buildings- Local Dubai Villa,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_2,
account_account_abu_dhabi_office_49,1201,Buildings Local Dubai Pvt. Villa,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_2,
account_account_abu_dhabi_office_50,1202,Buildings- Beach Villa,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_2,
account_account_abu_dhabi_office_51,1203,Buildings- Umm Suquem Villa,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_2,
account_account_abu_dhabi_office_52,1204,Buildings Dubai,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_2,
account_account_abu_dhabi_office_53,1205,Buildings-swimming Pools/ Spa,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_2,
account_account_abu_dhabi_office_54,1220,Buildings Local -Abu Dhabi Palace,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_2,
account_account_abu_dhabi_office_55,1221,Buildings local - Qassar Bu Shajjar,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_2,
account_account_abu_dhabi_office_56,1222,Buildings Local- Khalidiya Villa,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_2,
account_account_abu_dhabi_office_57,1223,Buildings Local -Habl Al Abiad,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_2,
account_account_abu_dhabi_office_58,1224,Buildings Local- Al Ashgal Villa,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_2,
account_account_abu_dhabi_office_59,1225,Buildings Local- Guest House,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_2,
account_account_abu_dhabi_office_60,1226,Buildings Local- Marina Al Bateen,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_2,
account_account_abu_dhabi_office_61,1227,Buildings Local- Delma Island,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_2,
account_account_abu_dhabi_office_62,1228,Buildings Local- Japanese restaurant,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_2,
account_account_abu_dhabi_office_63,1229,Buildings Local- Mina Villa,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_2,
account_account_abu_dhabi_office_64,1230,Buildings Local- Prefabricated Villa Al Ain,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_2,
account_account_abu_dhabi_office_65,1231,Buildings Local- Al Ain,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_2,
account_account_abu_dhabi_office_66,1232,Buildings- Local-Engineered Villa,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub3_2,
account_account_abu_dhabi_office_67,1300,LCRP/Assets/Maha - A1,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_4,
account_account_abu_dhabi_office_68,1301,LCRP/Assets/ Maha - A2,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_4,
account_account_abu_dhabi_office_69,1302,LCRP/Assets/ Maha - B,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_4,
account_account_abu_dhabi_office_70,1303,LCP/Assets/ Maha - C,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_4,
account_account_abu_dhabi_office_71,1304,LCRP/Assets/l Corniche Tower,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_4,
account_account_abu_dhabi_office_72,1305,LCRP/Assets/Shahama,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_4,
account_account_abu_dhabi_office_73,1306,LCRP/Assets/Reem,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_4,
account_account_abu_dhabi_office_74,1307,LCRP/Assets/Dana,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_4,
account_account_abu_dhabi_office_75,1308,LCRP/Assets/12 V Al Ain,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_4,
account_account_abu_dhabi_office_76,1309,LCRP/Assets/Marina Al Bateen V,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_4,
account_account_abu_dhabi_office_77,1310,LCRP/Assets/4 V AD,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_4,
account_account_abu_dhabi_office_78,1311,LCRP/Assets/8 V AD,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_4,
account_account_abu_dhabi_office_79,1312,LCRP/Assets/6 V AD,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_4,
account_account_abu_dhabi_office_80,1313,LCRP/Assets/3 V AD,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_4,
account_account_abu_dhabi_office_81,1314,LCRP/Assets/7 V Ashgal,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_4,
account_account_abu_dhabi_office_82,1315,LCRP/Assets/Royal Marina Villas -7,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_4,
account_account_abu_dhabi_office_83,1316,"LCRP/Assets/ DIB Building- East 40, C12",account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_4,
account_account_abu_dhabi_office_84,1318,LCRP/Assets/48 Villas + 10 Villas Shahama,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_4,
account_account_abu_dhabi_office_85,1319,LCRP/Assets/AlGurm Villa No.71-72,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_4,
account_account_abu_dhabi_office_86,1320,LCRP/Assets/Al Gurm Villa No.69- Khalifa Bin Sultan,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_4,
account_account_abu_dhabi_office_87,1321,LCRP/Assets/Al Gurm Villa No.70- Mohammad Bin Sultan,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_4,
account_account_abu_dhabi_office_88,1324,LCRP- Citywalk Residential Buildings 14,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_4,
account_account_abu_dhabi_office_89,1326,LCRP/ Marina Al Bateen Extension C104-W35,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_4,
account_account_abu_dhabi_office_90,1350,LCP/Assets/Marina Restaurant,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_4,
account_account_abu_dhabi_office_91,1351,LCP/Assets/Marina Gym & Pool,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_4,
account_account_abu_dhabi_office_92,1319-1,LCRP/Assets/AlGurm Villa No.71-72,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_4,
account_account_abu_dhabi_office_93,1320-1,LCRP/Assets/Al Gurm Villa No.69- Khalifa Bin Sultan,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_4,
account_account_abu_dhabi_office_94,1321-1,LCRP/Assets/Al Gurm Villa No.70- Mohammad Bin Sultan,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_4,
account_account_abu_dhabi_office_95,1322,LCRP/Assets/Hidd Al Saadiyat- SP3B-11,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_4,
account_account_abu_dhabi_office_96,1323,LCRP/Assets/Hidd Al Saadiyat- SP3B-12,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_4,
account_account_abu_dhabi_office_97,2500,Office Equipment,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub1_3,
account_account_abu_dhabi_office_98,2600,Office equipment Depreciation,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub1_3,
account_account_abu_dhabi_office_99,3000,Furniture and fixtures-Private office,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub1_3,
account_account_abu_dhabi_office_100,3100,Furniture and Fixtures Depreciation,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub1_3,
account_account_abu_dhabi_office_101,2001,Caterpillar Dozer- D6H- 020 Tons - USED1995,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub1_4,
account_account_abu_dhabi_office_102,2100,Plant and Machinery Depreciation,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub1_4,
,,,,,,,
account_account_abu_dhabi_office_103,3501,Motor Vehicles - France,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_5,
account_account_abu_dhabi_office_104,3502,Motor Vehicels - UK,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_5,
account_account_abu_dhabi_office_105,3500,Motor Vehicles,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_6,
account_account_abu_dhabi_office_106,3600,Motor Vehicles-Depreciation,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub2_6,
account_account_abu_dhabi_office_107,4510,"Yacht , Moonlight Purchase",account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub1_6,
account_account_abu_dhabi_office_108,4511,Yachts-Moonlight 2 Refurbishment,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub1_6,
account_account_abu_dhabi_office_109,4600,Yachts- Depreciation,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub1_6,
account_account_abu_dhabi_office_110,4515,Viking Landing Craft,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub1_6,
account_account_abu_dhabi_office_111,5000,Boats- Yamaha sports boat,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub1_6,
account_account_abu_dhabi_office_112,5001,Boats- others,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub1_6,
account_account_abu_dhabi_office_113,5002,Boats - New Boat - Mercury,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub1_6,
account_account_abu_dhabi_office_114,5100,Boats- Depreciation,account.data_account_type_fixed_assets,account_arabic_coa_sbk_abu_dhabi_office,False,sbk_group.account_group_sub1_6,
